project,title,url,source
Malaba-Kampala SGR,"Uganda, Kenya to align SGR Railway standards - Uganda Observer",https://news.google.com/rss/articles/CBMifkFVX3lxTE9wa1VMaUNRMTRkNmRoTDVlZUE5cXlrWV9CQzdtZmNBck5OOHpuckhsZlllX05waE8xUGdLTVVSSlJFOVlrUW5hMzF2djlITG5GZlktUUlYOThoNEdsRWhlUnBTYUZEZzFPTjFHUGg5cDRrak40VUxoa1FHbG0zQQ?oc=5,Google News
Entebbe Airport Expansion,"Uganda’s Entebbe Airport Achieves Record Passenger, Cargo Growth - Aviation Week",https://news.google.com/rss/articles/CBMiuwFBVV95cUxNYUlvclBOWjk0ZGU3TkNjNkpvZVdxMVR6R09MZmFJQWpVR3ctT25mYjFvbjFpeWlFMWlXcGN0SXU5OHlmYzd2UlBkdjNVUGJ4OGNPck5CdWZjZ0x1ams5eTFyUG02MUM0UFJBdWo3bGVzZk9hQWZjUndEWk14T184Mk9iM3ZQTkswUmNtNGpObG85WDdZVWV2YXItNlRBN082ajJsUkJUSFdRcFNxUTh2TEM3TXpDSkNaX2pn?oc=5,Google News
Entebbe Airport Expansion,Uganda Advances More than Three Hundred Million USD With Their New Project of Entebbe International Airport Expansion to Boost its Capacity and Become,https://news.google.com/rss/articles/CBMiyAJBVV95cUxNUE1DODZlaFF2Sy1CQ1RfMzVjTHV4NG9yMlY5dHRNMlVEc3pyRGlyeVFOZkc5WXVKaXZBVE9TaGpfaDF6M0VKMHNKaElpUldqM1BLU2tZak9QMk9nRlBvaGpMdERUZlhrOTVIQ0FTUE1pRExUV1prbF9GYXVzeWJqTDBndDlnWDdSVVktRVU0VHpDMDQ2MEhLa1h4MWxKRUhrVzRqb01TMndpc3IwZmw3TGFJclhSamdoa0czbGtkNGt5cVBZYVZRUnk5RG52LXRfUU1wdk03YnpDVTFPUlBwMW5yUUxOcnRIMkhCN2QwVnAtazhjXzNiRDE1NUE1OGNvV1ZPbDV4Sk9saVlQc2c0UUpYSmFZQW9TRWtPY1Jyd1pmTmw5aWZsRHdwTi1pUnpTa3JURjhPME0tTldleUVfa2xSRWhRX2ZD?oc=5,Google News
Entebbe Airport Expansion,Uganda Accelerates Completion of Shs 1.2 Tn Entebbe Airport Expansion - Nilepost News,https://news.google.com/rss/articles/CBMiswFBVV95cUxPQUcwLVFOTTZBSVhoenBQc1pGc09NRzlLWFdGa3R6OV91TEZyc2VOY19rQ0lCUlJsSU50dUpFVWx3U09udnNPS3RHaXpjazRBaXBSWktCVHlMSWtRR3FmTWRBNlRhZHN1aUxxT25OLWJLUTJaWDBNZUpBZ3JoMU11ZklMTHdvVk5pdWJLN3hiSzRkdmF6clkxellRZkZnY0F0TmZwSlI0OVkwYVNzMHZlZ3h5dw?oc=5,Google News
Kampala-Entebbe Expressway,"Kampala Institutional and Infrastructure Development Project II Report of the Auditor General, 2022",https://www.oag.go.ug/reports/1436,OAG Audit
Kampala-Entebbe Expressway,"National Water and Sewerage Corporation Kampala Water Lake Victoria Water and Sanitation (KW LV WATSAN I) Report of the Auditor General, 2022",https://www.oag.go.ug/reports/1616,OAG Audit
Kampala-Entebbe Expressway,"National Water and Sewerage Corporation Kampala Water Lake Victoria Water and Sanitation (KW LV WATSAN II) Report of the Auditor General, 2022",https://www.oag.go.ug/reports/1617,OAG Audit
Kampala-Entebbe Expressway,"National Water and Sewerage Corporation - Kampala Water Lake Victoria Water and Sanitation (KW-LV WATSAN II) Project Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1082,OAG Audit
Kampala-Entebbe Expressway,"National Water and Sewerage Corporation- Kampala Water Lake Victoria Water and Sanitation (KW-LV WATSAN I) Project Report of the Auditor General, 2020",https://www.oag.go.ug/reports/1083,OAG Audit
Malaba-Kampala SGR,"Uganda Secondary Education Expansion Project Report of the Auditor General, 2024",https://www.oag.go.ug/reports/2934,OAG Audit
