driver,count
miscellaneous_administrative,288
procurement_irregularities,237
delays_and_time_overruns,220
budget_and_funding_issues,126
infrastructure_and_equipment,122
general_project_issues,62
human_resources,48
delayed_payments,35
compliance_and_regulatory,26
contract_management,23
governance_and_controls,23
land_and_right_of_way,19
claims_and_liabilities,4
