year,sentence,driver_label,project_name,contractor,statutory_body,funding_source
2018,"Table 4: Wasteful/Nugatory Expenditure S/N Entity Particulars Amount 1 Ministry of Water and Environment and Urban Development Interest charges 803,111,726 2 Ministry of Education and Sports These include payment of interest on delayed payments, litigation costs for wrongful termination of contracts and refund of embezzled funds.",delayed_payments,,,"Ministry of Water and Environment and Urban Development Interest charges 803,111,726 2 M",
2018,"of cases outstanding Estimated legal cost-UGX Remark 1 National Agricultural Advisory Services- NAADS 15 18,000,000,000 Estimated costs for outstanding court cases 2 Kampala Sanitation Program (KSP) - National Water 1 1,395,856,789 Impending Legal Suits on Disputed Compensation Offers/claims 3 Kampala Capital City Authority N/A 39,818,479,736 For existing and potential legal claims 4 National Social Security Fund (NSSF) 1 42,200,000,000 Tax dispute with URA 5 Uganda National Roads Authority N/a 430,013,722,276 Contingent Liabilities Total 531,428,058,801 Their eventual determination and/or payment could negatively affect the cash flows and ability of the concerned entities to continue as going concerns.",land_and_right_of_way,"Program (KSP) - National Water 1 1,395,856,789 Impending Legal Suits on Disputed Compensation Off",,"Authority N/A 39,818,479,736 For existing and potential legal claims 4 National Social Se; Uganda National Roads Authority N/a 430,013,722,276 Contingent Liabilities Total 531,428,058,801 Their eventual",
2018,"78 Table 18: Wasteful/ Nugatory Expenditure SN Entity Particulars Amount (UGX) 1 National Agricultural Advisory Services- NAADS Delayed delivery and installation of milk coolers and pineapple juice processing equipment to the intended beneficiaries, Extension of LCs as a result of non-performance 93,159,046 2 Electricity Regulatory Authority (ERA) URA Penalty on under declared PAYE 108,389,948 3 Mbarara Nkenda- Tororo-Lira transmission line (UETCL) Delayed acquisition of right of way (ROW) resulting into Standby costs, Interest charges and additional supervision costs to the contractor (UGX.5,076,700,788 + USD 9,936,215.1) 43,668,960,236 4 Uganda Electricity Transmission Company Limited Surcharges for delayed payments to Bujagali Energy Limited (BEL) 391,752,610 5 Hoima-Nkenda Transmission Line Project (UETCL) Costs resulting from delay to handover site to KEC due to right of way challenges (USD 982,295.99) 3,815,237,625 6 Uganda Posts Limited Penalties and fines resulted from interest on late payments, breach of contracts and litigation costs 330,537,700 7 Kampala Capital City Authority Interest charged for delayed payment of civil works 714,318,282 8 National Enterprise Corporation – Tractor Project Nugatory interest paid to NSSF 21,761,163 9 National Information Technology Authority Uganda Unused bandwidth 663,398,278 10 Uganda National Roads Authority Interest on delayed payments 15,509,054,863 Total 65,316,569,751 Exchange rate used (1USD = UGX.3,884) The wasteful expenditures could have been avoided if management of the respective entities had acted prudently.",delayed_payments,"Project (UETCL) Costs resulting from delay to handover site to KEC due to right of way challenges; Project Nugatory interest paid to NSSF 21,761,163 9 National Information Technology Authority Uga","Company Limited Surcharges for delayed payments to Bujagali Energy Limited (BEL) 391,75; Limited Penalties and fines resulted from interest on late payments, breach of contract","Authority (ERA) URA Penalty on under declared PAYE 108,389,948 3 Mbarara Nkenda- Tororo-L; Authority Interest charged for delayed payment of civil works 714,318,282 8 National Ente",
2019,"53 ix ABBREVIATIONS AND ACRONYMS ACRONYM DESCRIPTION AG Auditor General AO Accounting Officer Bn Billion Tn Trillion BoU Bank of Uganda CAs Contracting Authorities DLB District Land Board FY Financial Year GoU Government of Uganda IESBA International Ethics Standards Board for Accountants IMF International Monetary Fund KIS Kalangala Infrastructure Services LGs Local Governments MDAs Ministries, Departments and Agencies MDALGs Ministries, Departments, Agencies & Local Governments MEMD Ministry of Energy and Mineral Development MOFPED Ministry of Finance, Planning, and Economic Development MoGLSD Ministry of Gender Labour and Social Development MoU Memoranda of Understanding MTEF Medium Term Expenditure Framework NAA National Audit Act NBI National Backbone Infrastructure NDP National Development Plan NDPII Second National Development Plan NEMA National Environment Management Authority NGO Non-Governmental Organisation NIN National Identification Number NPA National Planning Authority NWSC National Water and Sewerage Corporation OAG Office of the Auditor General PAPs Project Affected Persons PDMF Public Debt Management Framework PFMA Public Finance Management Act, 2015 PSAs Production Sharing Agreements PS/ST Permanent Secretary/Secretary to the Treasury PSST Permanent Secretary and Secretary to Treasury SORA Shared Over All Risk Assessment TI Treasury Instructions, 2017 TIN Tax Identification Number TWGs Technical Working Groups UCF Uganda Consolidated Fund x UGX Uganda Shillings USD United States of America Dollars USMID Uganda Support for Municipal Infrastructure Development WMD Wetlands Management Department YIGs Youth Interest Groups YLP Youth Livelihood Programme xi GLOSSARY OF TERMS Term Meaning Classified Expenditure The expenses and commitments incurred by an authorised agency for the collection and dissemination of information related to national security interests Contingent Liability A potential liability that may occur depending on the outcome of an uncertain future event.",claims_and_liabilities,Project Affected Persons PDMF Public Debt Management Framework PFMA Public Finance Management Act; Programme xi GLOSSARY OF TERMS Term Meaning Classified Expenditure The expenses and commitments inc,,"Ministry of Energy and Mineral Development MOFPED Ministry of Finance, Planning, and Eco; Ministry of Gender Labour and Social Development MoU Memoranda of Understanding MTEF Med",
2022,"240 xiii LIST OF ACRONYMS ACRONYM DESCRIPTION AG Auditor General AO Accounting Officer Bn Billion BoU Bank of Uganda CAs Contracting Authorities CFR Central Forest Reserve DGAL Directorate of Government Analytical Laboratory DLB District Land Board FY Financial Year GDP Gross Domestic Product GoU Government of Uganda ICT Information Communication Technology IDA International Development Association IESBA International Ethics Standards Board for Accountants IFMS Integrated Financial Management System IMF International Monetary Fund KIS Kalangala Infrastructure Services MAAIF Ministry of Agriculture Animal Industry and Fisheries MDAs Ministries, Departments and Agencies MEMD Ministry of Energy and Mineral Development MOFPED Ministry of Finance, Planning, and Economic Development MoGLSD Ministry of Gender Labour and Social Development MoU Memoranda of Understanding MTEF Medium Term Expenditure Framework NAA National Audit Act NBI National Backbone Infrastructure NDP National Development Plan NDPII Second National Development Plan NEF National Environment Fund NEMA National Environment Management Authority NFA National Forestry Authority NGO Non-Governmental Organisation NIN National Identification Number NIRA National Identification Registration Authority NPA National Planning Authority NWSC National Water and Sewerage Corporation OAG Office of the Auditor General PAPs Project Affected Persons PDMF Public Debt Management Framework PFMA Public Finance Management Act, 2015 PS/ST Permanent Secretary/Secretary to the Treasury PSST Permanent Secretary and Secretary to Treasury TAI Treasury Accounting Instructions, 2016 TIN Tax Identification Number Tn Trillion TWGs Technical Working Groups UCC Uganda Communications Commission UCF Uganda Consolidated Fund UDC Uganda Development Corporation UETCL Uganda Electricity Transmission Company Limited UGX Uganda Shillings xiv ACRONYM DESCRIPTION URA Uganda Revenue Authority USD United States Dollars USMID Uganda Support for Municipal Infrastructure Development WMD Wetlands Management Department YIGs Youth Interest Groups YLP Youth Livelihood Programme xv GLOSSARY OF TERMS Term Definition Classified Expenditure The expenses and commitments incurred by an authorised agency for the collection and dissemination of information related to national security interests Contingent Liability A potential liability that may occur depending on the outcome of an uncertain future event.",claims_and_liabilities,Project Affected Persons PDMF Public Debt Management Framework PFMA Public Finance Management Act; Programme xv GLOSSARY OF TERMS Term Definition Classified Expenditure The expenses and commitments ,Company Limited UGX Uganda Shillings xiv ACRONYM DESCRIPTION URA Uganda Revenue Authori,"Ministry of Agriculture Animal Industry and Fisheries MDAs Ministries, Departments and A; Ministry of Energy and Mineral Development MOFPED Ministry of Finance, Planning, and Eco",
2023,"310 xi LIST OF ACRONYMS ACRONYM MEANING ACU Anti-Corruption Unit of State House AG Auditor General AO Accounting Officer BFPs Budget Framework Paper Bn Billion BoU Bank of Uganda CAs Contracting Authorities CFR Central Forest Reserve CGV Chief Government Valuer DGAL Directorate of Government Analytical Laboratory DLB District Land Board E-LogRev Electronic Local Government Revenue Collection System ENT Ear Nose Throat FY Financial Year GDP Gross Domestic Product GoU Government of Uganda HSC Health Service Commission ICS Infra Consulting Services ICT Information Communication Technology IDA International Development Association IESBA International Ethics Standards Board for Accountants IFMS Integrated Financial Management System IMF International Monetary Fund KIS Kalangala Infrastructure Services MAAIF Ministry of Agriculture Animal Industry and Fisheries MDAs Ministries, Departments and Agencies MEMD Ministry of Energy and Mineral Development MOFPED Ministry of Finance, Planning, and Economic Development MoGLSD Ministry of Gender Labour and Social Development MoH Ministry of Health MoU Memoranda of Understanding MTEF Medium Term Expenditure Framework NAA National Audit Act NBI National Backbone Infrastructure NDP National Development Plan NDPII Second National Development Plan NEF National Environment Fund NEMA National Environment Management Authority NFA National Forestry Authority NGO Non-Governmental Organisation NIN National Identification Number NIRA National Identification Registration Authority NPA National Planning Authority NSACARJA Nsambya Carpentry, Joinery, Craft and Training Agency NWSC National Water and Sewerage Corporation OAG Office of the Auditor General PAPs Project Affected Persons PDMF Public Debt Management Framework PFMA Public Finance Management Act, 2015 PS/ST Permanent Secretary/Secretary to the Treasury PSST Permanent Secretary and Secretary to Treasury xii ACRONYM MEANING TAI Treasury Accounting Instructions, 2016 TIN Tax Identification Number Tn Trillion TWGs Technical Working Groups UCC Uganda Communications Commission UCF Uganda Consolidated Fund UDC Uganda Development Corporation UETCL Uganda Electricity Transmission Company Limited UGX Uganda Shillings UNRA Uganda National Roads Authority URA Uganda Revenue Authority URMCHSIP Uganda Reproductive Maternal and Child Health Service Improvement Project USD United States Dollars USMID Uganda Support for Municipal Infrastructure Development WMD Wetlands Management Department YIGs Youth Interest Groups YLP Youth Livelihood Programme ToTs Trainer of Trainers HLG Higher Local Government iHRIS Integrated Human Resource Information System DiFRs Directorrate of Fisheries and Resources BoQs Bill of Quantities xiii GLOSSARY OF TERMS Term Definition Classified Expenditure The expenses and commitments incurred by an authorised agency for the collection and dissemination of information related to national security interests Contingent Liability A potential liability that may occur depending on the outcome of an uncertain future event.",claims_and_liabilities,Project Affected Persons PDMF Public Debt Management Framework PFMA Public Finance Management Act; Project USD United States Dollars USMID Uganda Support for Municipal Infrastructure Development W,Company Limited UGX Uganda Shillings UNRA Uganda National Roads Authority URA Uganda Re,"Commission ICS Infra Consulting Services ICT Information Communication Technology IDA Inte; Ministry of Agriculture Animal Industry and Fisheries MDAs Ministries, Departments and A",
2024,"557 ix LIST OF ACRONYMS ACRONYM MEANING AFROSAI-E African Organization of English-Speaking Supreme Audit Institutions AG Auditor General AO Accounting Officer BIMS Building Industry Management System Bn Billion BoU Bank of Uganda CAR Combined Audit Report CBC Competency-Based Curriculum CGV Chief Government Valuer CMTs Contract Management Teams DCIC Directorate of Citizenship and Immigration Control DDEG District Discretionary Equalization Grant DMFAS Debt Management and Financial Analysis System DSCs District Service Commissions DWSSCG District Water Supply and Sanitation Conditional Grant EACOP East African Crude Oil Pipeline ECCMIS Electronic Court Case Management Information System EFRIS Electronic Fiscal Receipting and Invoicing System e-GP Electronic Government Procurement E-LogRev Electronic Local Government Revenue Collection System EMHS Essential Medicines and Health Supplies EPS Express Penalty Scheme ERC Enumeration and Registration Committee FY Financial Year G2B Government to Business GDP Gross Domestic Product GMS Grants Management System GoU Government of Uganda HCs Health Centres HCMS Human Capital Management System HLGs Higher Local Governments ICT Information Communication Technology IDA International Development Association IESBA International Ethics Standards Board for Accountants IFMS Integrated Financial Management System IGFTRP Intergovernmental Fiscal Transfers Reform Program IMCMHH Inter-Ministerial Committee on Menstrual Health and Hygiene INTOSAI International Organization of Supreme Audit Institutions IP Intellectual property IRAS Integrated Revenue Management System IS Information Systems ISSAIs International Standards of Supreme Audit Institutions KCCA Kampala Capital City Authority KIS Kalangala Infrastructure Services KOPGT Kalangala Oil Palm Growers Trust LCs Letters of Credit LEGS Local Economic Growth Support LGRMIS Local Government Revenue Collection and Management System x ACRONYM MEANING LLGs Lower Local Governments LST Local Service Tax MDAs Ministries, Departments and Agencies MEPS Minimum Energy Performance Standards MHHM Menstrual Health and Hygiene Management MIDAS Migration Information and Data Analysis System MOFPED Ministry of Finance, Planning, and Economic Development MoICT&NG Ministry of Information, Communications Technology and National Guidance MoPS Ministry of Public Service MoU Memoranda of Understanding MSC Microfinance Support Centre MTEF Medium Term Expenditure Framework NAA National Audit Act NBI National Backbone Infrastructure NCDC National Curriculum Development Centre NDP National Development Plan NEC National Enterprises Corporation NFASS National Food and Agricultural Statistical System NMS National Medical Stores NPA National Planning Authority NPDRI National Petroleum Data Repository Infrastructure NTR Non-Tax Revenue NWSC National Water and Sewerage Corporation OAG Office of the Auditor General OSH Occupational Safety and Health PAPs Project Affected Persons PDCs Parish Development Committees PDE Procuring and Disposing Entity PDM Parish Development Model PDMF Public Debt Management Framework PDMIS Parish Development Model Information System PFMA Public Finance Management Act PFMR Public Finance Management Regulations PIMS Project Implementation Management System PISCES Personal Identification Secure Comparison and Evaluation System PPC Physical Planning Committee PPDA Public Procurement and Disposal of Public Assets Authority PRF Parish Revolving Fund PS/ST Permanent Secretary/Secretary to the Treasury PSC Public Service Commission RAPEX Rationalization of Government Agencies and Public Expenditure SACCOs Savings and Credit Cooperative Societies SDGs Sustainable Development Goals SORA Shared Overall Risk Assessment TAI Treasury Accounting Instructions TELA Teacher Effectiveness and Learner Achievement System TIN Tax Identification Number Tn Trillion TRT Technical Review Team UBoS Uganda Bureau of Statistics xi ACRONYM MEANING UDLS Uganda Driver Licensing System UgIFT Uganda Intergovernmental Fiscal Transfer UGX Uganda Shillings ULRC Uganda Law Reform Commission UNOC Uganda National Oil Company UNRA Uganda National Roads Authority URA Uganda Revenue Authority URF Uganda Road Fund URMCHSIP Uganda Reproductive Maternal and Child Health Service Improvement Project USD United States Dollars USMID Uganda Support for Municipal Infrastructure Development USMID Uganda Support to Municipal Infrastructure Development UTL Uganda Telecom Limited UWEP Uganda Women Empowerment Project VFM Value for Money YLP Youth Livelihood Program xii GLOSSARY OF TERMS TERM DEFINITION Classified Expenditure The expenses and commitments incurred by an authorised agency for the collection and dissemination of information related to national security interests Contingent Liability A potential liability that may occur depending on the outcome of an uncertain future event.",procurement_irregularities,Program IMCMHH Inter-Ministerial Committee on Menstrual Health and Hygiene INTOSAI International ; Project Affected Persons PDCs Parish Development Committees PDE Procuring and Disposing Entity PD,Company UNRA Uganda National Roads Authority URA Uganda Revenue Authority URF Uganda Ro; Limited UWEP Uganda Women Empowerment Project VFM Value for Money YLP Youth Livelihood ,"Authority KIS Kalangala Infrastructure Services KOPGT Kalangala Oil Palm Growers Trust LC; Ministry of Finance, Planning, and Economic Development MoICT&NG Ministry of Information",Grant DMFAS Debt Management and Financial Analysis System DSCs Di; Grant EACOP East African Crude Oil Pipeline ECCMIS Electronic Cou
2024,"A review of the share purchase process revealed the following: 27 1.10 Irregular purchase of shares by Government Section 22(1) of the Public Finance Management Act Cap 171, states that a vote shall not enter a contract, transaction, or agreement that binds the Government to a financial commitment for more than one financial year or which results in a contingent liability, except where the financial commitment or contingent liability is authorized by Parliament.",claims_and_liabilities,,,Parliament,
2025,"Financial and Accounting Regulations LGs Local Governments xiv Acronym Meaning LHP Lubowa Housing Project LLGs Lower Local Governments M&E Monitoring & Evaluation MAAIF Ministry of Agriculture Animal Industry and Fisheries MDAs Ministries, Departments and Agencies MEMD Ministry of Energy and Mineral Development Mn Million MNOs Mobile Network Operators MNS Mandela National Stadium MoES Ministry of Education and Sports MoFA Ministry of Foreign Affairs MoFPED Ministry of Finance, Planning, and Economic Development MoGLSD Ministry of Gender, Labour and Social Development MoH Ministry of Health MoICT&NG Ministry of Information, Communications Technology and National Guidance MoLHUD Ministry of Lands, Housing and Urban Development MoU Memoranda of Understanding MoWT Ministry of Works and Transport MSME Micro, Small and Medium Enterprises MTEF Medium Term Expenditure Framework MUST Mbarara University of Science and Technology MVCA Mineral Value Chain Analysis MZOs Ministry Zonal Offices NAA National Audit Act Cap 170 NBI National Backbone Infrastructure NCDs Non-Communicable Diseases NCHE National Council for Higher Education NDP National Development Plan NEC National Enterprises Corporation NEMA National Environment Management Authority NFA National Forestry Authority NHCCL National Housing and Construction Company Limited NICU New-born Intensive Care Units NIRA National Identification and Registration Authority NITA-U National Information Technology Authority of Uganda NMS National Medical Stores NPA National Planning Authority NRHs National Referral Hospitals NSDI National Spatial Data Infrastructure NSG National Special Grant NSG-PWD National Special Grant for Persons with Disabilities NTR Non-Tax Revenue OAG Office of the Auditor General xv Acronym Meaning OBRS Online Business Registration System ODPP Office of the Director of Public Prosecutions OHS Occupational Safety and Health OPBL Oil Palm Buvuma Limited OPM Office of the Prime Minister OSBC One Stop Business Centre OSCs One Stop Centres PAPs Project Affected Persons PAU Petroleum Authority of Uganda PDM Parish Development Model PDMIS Parish Development Model Management System PDUs Procurement and Disposal Units PFMA Public Finance Management Act Cap 171 PIMS Prisons Information Management System PIP Public Investment Plan POATE Pearl of Africa Tourism Expo PSC Public Service Commission PSST Permanent Secretary and Secretary to the Treasury PSWOs Probation and Social Welfare Officers PTCs Primary Teacher Colleges PWDs Persons with Disabilities QAS Quality Assurance System RAPEX Rationalisation of Public Expenditure RIF Research and Innovation Fund ROA Return on Assets RoW Right of Way RRC Remand Homes and Rehabilitation Centres RRHs Regional Referral Hospitals SC Sub-County SDGs Sustainable Development Goals SIMPRS Security Interest in Movable Property Registry System SOPs Standard Operating Procedures SORA Shared Overall Risk Assessment TAT Tax Appeals Tribunal TB Tuberculosis TBC Technology Business Incubation TC Town Council TPCA Tax Procedures Code Act Cap 343 TELA Teacher Effectiveness and Learner Achievement THP Temangalo Housing Project TIMS Tourism Information Management System TM Treasury Memorandum Tn Trillion TRM Taxpayer Register Management xvi Acronym Meaning TUGs Target User Groups TVET Technical Vocational Education and Training UBC Uganda Broadcasting Corporation UCAA Uganda Civil Aviation Authority UCC Uganda Communications Commission UCREPP Uganda - COVID-19 Response and Emergency Preparedness Prgramme UCUSAF Uganda Communications Universal Service and Access Fund UDC Uganda Development Corporation UEGCL Uganda Electricity Generation Company Limited UETCL Uganda Electricity Transmission Company Limited UgIFT Uganda Inter-Governmental Fiscal Transfers Program UGX Uganda Shillings UHTTI Uganda Hotel and Tourism Training Institute UIA Uganda Investment Authority UIRI Uganda Industrial Research Institute UKEF United Kingdom Export Finance UNEPI Uganda National Expanded Program on Immunisation UNITE Uganda National Institute for Teacher Education UNOC Uganda National Oil Company UNRA Uganda National Roads Authority UPHL Uganda Property Holdings Limited UPOLET Universal Post O’ Level Education and Training UPPC Uganda Printing and Publishing Corporation UPS Uganda Prisons Service UPTC Uganda Posts and Telecommunications Corporation URA Uganda Revenue Authority URSB Uganda Registration Services Bureau USD United States Dollars USE Universal Secondary Education USEEP Uganda Secondary Education Expansion Project USMID-AF Uganda Support to Municipal Infrastructure Development - Additional Financing UTB Uganda Tourism Board UWA Uganda Wildlife Authority UWEC Uganda Wildlife Education Centre UWRTI Uganda Wildlife Research and Training Institute VFM Value for Money VHTs Village Health Teams WHO World Health Organisation xvii GLOSSARY OF TERMS Term Definition Classified Expenditure The expenses and commitments incurred by an authorised agency for the collection and dissemination of information related to national security interests Contingent Liability A potential liability that may occur depending on the outcome of an uncertain future event.",procurement_irregularities,Project LLGs Lower Local Governments M&E Monitoring & Evaluation MAAIF Ministry of Agriculture An; Project Affected Persons PAU Petroleum Authority of Uganda PDM Parish Development Model PDMIS Par,Company Limited NICU New-born Intensive Care Units NIRA National Identification and Reg; Limited OPM Office of the Prime Minister OSBC One Stop Business Centre OSCs One Stop Ce,"Ministry of Agriculture Animal Industry and Fisheries MDAs Ministries, Departments and A; Ministry of Energy and Mineral Development Mn Million MNOs Mobile Network Operators MNS ",Grant NSG-PWD National Special Grant for Persons with Disabilitie
